tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write
9048.499,0.939,0.112,0.105,6.153,1.298,62.1,86.502,0.918,1.235,1.103,1.401,13.914,-64296.981,28.152,13.913,30.271,18.433,36.732,64.174,0.523,0.546,0,0.0
8513.785,0.955,0.112,0.107,6.217,1.298,64.148,90.071,0.909,1.0,1.103,1.039,13.806,-64274.719,18.335,13.824,30.303,18.224,19.426,64.004,0.523,0.546,5,0.0
6277.234,0.852,2.062,1.758,6.217,1.298,59.71,88.541,0.897,0.994,1.09,1.026,13.602,-64264.965,35.467,13.577,30.753,18.124,44.513,65.134,0.523,0.546,0,0.8
185.477,0.925,0.112,0.104,5.77,1.323,97.259,90.071,0.854,0.772,1.022,0.911,14.541,-64711.908,35.006,14.463,29.537,17.876,43.805,65.47,0.523,0.546,0,0.0
1293.897,0.845,2.062,1.742,6.217,1.286,100.843,102.477,0.884,1.0,1.065,1.035,14.366,-64489.584,36.295,14.284,30.806,17.771,45.219,64.986,0.523,0.546,5,2.0
10051.377,0.222,0.112,0.025,6.153,1.31,61.588,93.64,0.901,0.772,1.078,0.979,15.561,-64510.379,24.962,15.751,27.911,22.759,28.859,58.084,0.523,0.546,0,0.0
4850.05,0.882,0.862,0.761,6.153,1.298,81.215,93.98,0.888,1.007,1.078,1.043,13.814,-64298.02,35.254,13.787,30.314,18.066,44.337,65.321,0.523,0.546,0,0.8
3164.841,0.895,0.487,0.436,6.217,1.286,84.117,94.32,0.901,1.0,1.084,1.03,13.636,-64358.565,18.733,13.618,30.433,18.25,19.917,57.895,0.523,0.546,5,0.4
3176.602,0.952,0.112,0.107,6.217,1.31,85.653,94.999,0.897,1.0,1.078,1.035,13.737,-64358.078,18.734,13.726,30.445,18.143,19.838,58.697,0.523,0.546,5,0.0
8484.922,0.86,1.05,0.903,6.217,1.298,68.586,92.96,0.914,1.007,1.097,1.035,13.718,-64273.42,18.446,13.694,30.32,18.6,19.617,62.018,0.523,0.546,5,1.0
42.045,0.914,0.112,0.102,-0.231,1.249,90.261,99.248,0.052,0.746,0.05,0.954,14.584,-64753.569,34.259,14.499,28.453,17.742,43.039,65.109,0.523,0.546,0,0.0
3161.107,0.895,0.487,0.436,6.217,1.298,84.97,96.529,0.897,1.007,1.084,1.035,13.606,-64358.7,18.753,13.594,30.431,18.307,19.945,57.858,0.523,0.546,5,0.4
9035.359,0.945,0.112,0.106,6.153,1.286,62.953,89.561,0.914,1.166,1.109,1.32,13.949,-64296.357,27.947,13.925,30.286,18.301,36.5,64.314,0.523,0.546,0,0.0
8512.926,0.955,0.112,0.107,6.217,1.298,60.905,88.202,0.914,1.0,1.097,1.043,13.819,-64274.699,18.354,13.802,30.297,18.232,19.454,63.524,0.523,0.546,5,0.0
