tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write
9002.495,0.877,1.05,0.921,6.217,1.298,61.929,90.411,0.914,1.0,1.116,1.026,13.908,-64295.026,27.139,13.915,30.301,17.924,35.763,64.609,0.523,0.546,0,1.0
9607.076,0.39,0.112,0.043,6.153,1.298,63.465,94.829,0.892,0.772,1.078,0.979,14.894,-64380.071,26.898,15.017,29.797,21.182,34.009,59.598,0.523,0.546,0,0.0
5554.146,0.662,15.037,9.962,6.153,1.298,58.686,88.711,0.884,0.969,1.072,1.009,13.631,-64283.323,35.311,13.581,30.324,18.405,44.398,64.951,0.523,0.546,5,15.0
4856.376,0.84,2.062,1.732,6.153,1.298,81.045,92.11,0.892,1.007,1.084,1.043,13.78,-64298.02,35.175,13.766,30.305,18.047,44.342,65.343,0.523,0.546,0,2.0
55.467,0.905,0.112,0.101,-0.231,1.274,86.336,96.869,0.052,0.823,0.037,1.077,14.696,-64749.636,34.325,14.608,28.196,17.815,43.23,64.972,0.523,0.546,0,0.0
3159.66,0.897,0.487,0.437,6.153,1.298,85.312,96.189,0.897,1.007,1.09,1.03,13.605,-64358.779,18.731,13.62,30.432,18.354,19.956,57.89,0.523,0.546,5,0.4
1318.256,0.945,0.112,0.106,6.089,1.298,97.6,102.307,0.884,1.0,1.065,1.039,14.556,-64486.152,36.245,14.475,30.736,17.812,45.049,65.334,0.523,0.546,0,0.0
9028.502,0.952,0.112,0.107,6.217,1.298,62.953,87.862,0.909,1.064,1.103,1.231,13.88,-64296.124,27.765,13.871,30.303,18.229,36.337,64.371,0.523,0.546,0,0.0
8542.802,0.85,1.117,0.95,6.217,1.286,63.465,85.482,0.909,1.007,1.103,1.043,13.751,-64276.275,18.226,13.753,30.306,18.192,19.293,64.584,0.523,0.546,5,2.0
6304.826,0.882,0.862,0.761,6.153,1.298,59.71,91.091,0.892,0.994,1.09,1.026,13.6,-64264.392,35.319,13.59,30.775,18.434,44.493,65.104,0.523,0.546,0,0.8
3182.877,0.889,0.487,0.433,6.153,1.298,85.994,96.529,0.897,1.007,1.084,1.035,13.809,-64357.72,18.749,13.804,30.44,18.12,19.776,59.261,0.523,0.546,5,0.4
1312.829,0.882,0.862,0.761,6.153,1.298,98.966,102.987,0.88,1.0,1.065,1.039,14.448,-64486.941,36.256,14.408,30.801,17.796,45.055,65.347,0.523,0.546,0,0.8
4814.085,0.85,2.062,1.753,6.153,1.286,80.191,93.98,0.888,1.013,1.078,1.039,13.797,-64298.46,35.132,13.758,30.296,18.194,44.344,65.236,0.523,0.546,0,2.0
188.904,0.932,0.112,0.104,5.77,1.298,98.283,103.497,0.846,0.715,1.022,0.792,14.505,-64710.951,34.981,14.419,29.558,17.942,43.804,65.324,0.523,0.546,0,0.0
179.471,0.882,0.112,0.099,5.77,1.384,96.406,103.157,0.85,0.924,1.022,1.209,14.587,-64713.504,34.983,14.511,29.486,17.816,43.789,65.682,0.523,0.546,0,0.0
1301.64,0.842,2.062,1.737,6.153,1.298,100.502,101.457,0.884,1.0,1.065,1.039,14.352,-64488.504,36.29,14.29,30.825,17.765,45.169,64.957,0.523,0.546,5,2.0
6269.995,0.855,2.062,1.763,6.217,1.31,59.54,85.822,0.897,1.007,1.084,1.043,13.589,-64265.049,35.462,13.569,30.765,18.207,44.562,64.889,0.523,0.546,5,2.0
8733.921,0.535,15.037,8.045,6.217,1.31,61.758,89.561,0.914,0.962,1.103,1.013,13.818,-64282.794,17.891,13.826,30.323,17.981,18.89,65.229,0.523,0.546,0,15.0
9013.925,0.872,1.05,0.916,6.153,1.274,63.124,92.96,0.914,0.95,1.109,1.03,13.909,-64295.422,27.433,13.892,30.303,17.876,36.04,64.555,0.523,0.546,0,1.0
4831.185,0.955,0.112,0.107,6.217,1.298,80.021,94.32,0.884,0.994,1.072,1.043,13.746,-64298.302,35.261,13.756,30.285,18.116,44.398,65.426,0.523,0.546,0,0.0
8313.629,0.54,15.037,8.12,6.217,1.31,60.905,92.28,0.909,0.975,1.097,1.018,13.698,-64267.488,18.893,13.651,30.347,18.708,20.247,58.881,0.523,0.546,0,15.0
8517.554,0.952,0.112,0.107,6.153,1.298,62.271,90.071,0.909,1.007,1.097,1.039,13.816,-64274.961,18.329,13.805,30.281,18.178,19.441,64.653,0.523,0.546,5,0.0
3193.964,0.882,0.557,0.491,6.217,1.298,85.824,96.699,0.897,1.007,1.078,1.03,13.812,-64357.387,18.741,13.817,30.457,18.073,19.727,60.123,0.523,0.546,5,1.0
9137.926,0.89,0.112,0.1,6.217,1.298,62.783,91.6,0.909,1.267,1.097,1.427,14.049,-64301.515,29.621,14.043,30.316,17.839,37.882,62.959,0.523,0.546,0,0.0
4314.405,0.647,15.037,9.736,6.153,1.31,82.752,90.921,0.88,0.975,1.072,1.009,13.728,-64307.244,34.215,13.682,30.37,18.112,43.487,65.374,0.523,0.546,0,15.0
9049.354,0.937,0.112,0.105,6.153,1.298,62.1,85.482,0.918,1.242,1.103,1.405,13.907,-64296.99,28.175,13.902,30.287,18.459,36.771,64.162,0.523,0.546,0,0.0
4818.098,0.892,0.862,0.769,6.217,1.298,81.557,94.15,0.888,1.007,1.084,1.039,13.802,-64298.441,35.168,13.761,30.287,18.175,44.347,65.221,0.523,0.546,0,0.8
112.04,0.862,0.112,0.097,-0.167,1.286,91.456,98.398,0.239,0.842,0.232,1.082,14.59,-64733.128,34.756,14.489,27.84,17.834,43.616,65.106,0.523,0.546,0,0.0
4816.934,0.856,1.746,1.489,6.217,1.298,81.386,93.98,0.892,1.007,1.084,1.043,13.817,-64298.455,35.161,13.763,30.298,18.18,44.37,65.214,0.523,0.546,0,0.8
6302.503,0.882,0.862,0.761,6.281,1.31,59.028,91.94,0.892,0.994,1.09,1.03,13.595,-64264.516,35.349,13.595,30.753,18.173,44.51,65.152,0.523,0.546,0,0.8
8495.395,0.857,1.05,0.9,6.217,1.298,60.734,92.62,0.914,1.0,1.103,1.043,13.784,-64273.751,18.397,13.812,30.308,18.542,19.538,62.169,0.523,0.546,5,0.4
8539.62,0.85,1.05,0.892,6.217,1.298,60.905,88.032,0.909,0.994,1.109,1.043,13.749,-64276.068,18.253,13.748,30.291,18.111,19.317,65.3,0.523,0.546,0,1.0
76.037,0.885,0.112,0.099,-0.167,1.274,87.872,102.477,0.048,0.835,0.031,1.082,14.608,-64743.616,34.484,14.509,27.844,17.836,43.373,65.031,0.523,0.546,0,0.0
9039.358,0.945,0.112,0.106,6.153,1.298,62.612,89.051,0.914,1.197,1.103,1.358,13.925,-64296.53,27.995,13.89,30.294,18.781,36.559,64.235,0.523,0.546,0,0.0
7655.611,0.569,15.037,8.559,6.217,1.286,61.417,90.241,0.909,0.981,1.103,1.013,13.573,-64253.373,21.531,13.556,30.68,19.299,23.397,61.283,0.523,0.546,0,15.0
27.185,0.92,0.112,0.103,-0.295,0.033,89.579,102.307,0.081,0.289,0.075,0.23,14.576,-64757.288,34.247,14.477,28.768,18.003,42.917,65.69,0.523,0.546,0,0.0
187.19,0.93,0.112,0.104,5.834,1.298,100.16,102.817,0.85,0.715,1.015,0.817,14.512,-64711.396,34.986,14.434,29.547,17.908,43.821,65.39,0.523,0.546,0,0.0
48.402,0.91,0.112,0.102,-0.231,1.249,85.312,100.607,0.052,0.797,0.031,1.052,14.588,-64751.803,34.3,14.52,28.317,17.751,43.149,65.133,0.523,0.546,0,0.0
8512.062,0.955,0.112,0.107,6.217,1.298,61.417,89.051,0.909,1.0,1.103,1.043,13.811,-64274.6,18.354,13.809,30.301,18.231,19.468,63.111,0.523,0.546,5,0.0
92.615,0.87,0.112,0.097,-0.231,1.286,86.848,100.947,0.039,0.842,0.025,1.086,14.585,-64738.789,34.529,14.482,27.597,17.863,43.455,65.694,1.232,0.546,0,0.0
3184.6,0.886,0.487,0.432,6.281,1.286,84.8,95.169,0.897,0.994,1.084,1.035,13.843,-64357.638,18.756,13.826,30.45,18.131,19.775,59.56,0.523,0.546,5,0.4
9059.36,0.836,1.05,0.877,6.153,1.298,70.122,86.332,0.914,1.261,1.103,1.414,13.947,-64297.51,28.404,13.933,30.264,18.374,36.925,63.964,0.523,0.546,0,1.0
9026.784,0.947,0.112,0.106,6.153,1.286,61.076,86.672,0.918,1.032,1.103,1.205,13.901,-64295.996,27.712,13.885,30.274,17.936,36.309,64.348,0.523,0.546,0,0.0
30.898,0.92,0.112,0.103,-0.231,0.021,88.213,92.28,0.069,0.277,0.056,0.221,14.568,-64756.409,34.236,14.474,28.694,17.923,42.946,65.824,0.523,0.546,0,0.0
18.043,0.925,0.112,0.104,-0.231,0.033,89.067,91.94,0.132,0.302,0.125,0.242,14.661,-64759.127,34.17,14.535,29.028,18.214,42.79,64.656,0.523,0.546,5,0.0
1311.118,0.882,0.862,0.761,6.217,1.298,101.697,101.797,0.88,1.007,1.065,1.039,14.408,-64487.167,36.268,14.358,30.809,17.77,45.086,65.553,0.523,0.546,0,0.8
4516.699,0.65,15.037,9.774,6.217,1.31,82.24,92.62,0.88,0.975,1.072,1.018,13.729,-64303.48,34.656,13.684,30.306,18.278,43.849,65.129,0.523,0.546,0,15.0
10467.242,0.17,0.096,0.016,6.153,1.31,101.697,92.45,0.905,0.778,1.078,0.967,16.139,-64637.411,24.085,16.306,26.224,22.67,25.682,56.733,0.523,0.546,0,0.0
