tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write
152.905,0.85,0.112,0.095,5.706,1.298,98.454,97.209,0.841,0.848,1.009,1.082,14.448,-64721.691,34.835,14.392,29.14,17.832,43.678,65.279,0.523,0.546,0,0.0
114.327,0.86,0.112,0.096,1.365,1.286,85.141,97.039,0.383,0.848,0.526,1.086,14.568,-64732.487,34.728,14.485,27.79,17.849,43.622,65.104,0.523,0.546,0,0.0
111.47,0.862,0.112,0.097,-0.103,1.298,92.992,97.379,0.256,0.842,0.238,1.082,14.589,-64733.287,34.765,14.502,27.869,17.835,43.607,65.11,0.523,0.546,0,0.0
50.895,0.907,0.112,0.102,-0.295,1.274,85.653,99.248,0.048,0.804,0.031,1.065,14.63,-64750.966,34.291,14.547,28.272,17.791,43.18,65.033,0.523,0.546,0,0.0
3199.139,0.85,1.05,0.892,6.153,1.298,85.824,94.829,0.892,1.0,1.078,1.035,13.836,-64357.054,18.724,13.828,30.452,18.051,19.698,60.437,0.523,0.546,5,1.0
138.046,0.855,0.112,0.096,5.451,1.298,97.259,100.607,0.829,0.848,0.984,1.082,14.518,-64725.707,34.783,14.43,28.848,17.843,43.68,64.998,0.523,0.546,5,0.0
3077.475,0.675,9.164,6.168,6.153,1.298,86.848,97.548,0.892,0.981,1.084,1.013,13.932,-64360.774,19.119,13.906,30.412,18.456,20.42,58.162,0.523,0.546,0,8.0
4848.052,0.882,0.862,0.761,6.217,1.298,81.045,93.98,0.888,1.013,1.078,1.043,13.8,-64298.119,35.261,13.795,30.301,18.076,44.357,65.405,0.523,0.546,0,0.8
9040.783,0.942,0.112,0.106,6.217,1.286,62.271,89.051,0.914,1.197,1.109,1.367,13.942,-64296.634,28.018,13.918,30.285,18.662,36.587,64.22,0.523,0.546,0,0.0
10770.529,0.14,0.112,0.015,-0.103,0.046,101.526,93.47,0.294,0.493,0.294,0.455,16.174,-64725.799,23.591,16.337,24.959,22.308,23.933,55.784,0.024,0.002,0,0.0
6814.776,0.655,15.037,9.849,6.217,1.298,56.809,91.77,0.897,0.981,1.084,1.013,13.929,-64258.603,30.595,13.86,30.731,19.03,34.853,64.436,0.523,0.546,0,15.0
10656.829,0.155,0.103,0.015,6.217,1.298,102.209,93.47,0.909,0.772,1.09,0.95,16.129,-64693.724,23.762,16.322,25.537,22.536,24.524,56.096,0.523,0.546,0,0.0
8532.944,0.85,1.05,0.892,6.153,1.31,64.66,88.881,0.909,1.007,1.103,1.03,13.761,-64275.707,18.274,13.735,30.3,18.327,19.344,65.174,0.523,0.546,0,1.0
9106.222,0.783,1.05,0.822,6.153,1.31,62.953,92.45,0.914,1.261,1.097,1.427,14.012,-64299.94,29.239,14.002,30.3,17.991,37.547,63.392,0.523,0.546,0,1.0
9146.789,0.848,0.187,0.159,6.217,1.286,62.783,88.371,0.914,1.261,1.103,1.422,14.054,-64301.906,29.684,14.034,30.313,17.789,37.98,62.872,0.523,0.546,0,0.1
3189.933,0.885,0.485,0.429,6.153,1.286,85.824,95.849,0.892,1.007,1.084,1.026,13.836,-64357.524,18.756,13.823,30.452,18.089,19.753,59.709,0.523,0.546,5,0.4
1307.107,0.885,0.862,0.763,6.217,1.298,99.307,100.438,0.884,1.007,1.065,1.043,14.353,-64487.755,36.276,14.298,30.832,17.769,45.117,64.909,0.523,0.546,5,0.8
4810.934,0.852,2.062,1.758,6.281,1.286,79.679,93.3,0.884,1.0,1.084,1.039,13.784,-64298.436,35.138,13.747,30.282,18.248,44.359,65.312,0.523,0.546,0,2.0
3167.99,0.895,0.487,0.436,6.153,1.31,84.629,94.659,0.897,1.007,1.09,1.026,13.68,-64358.342,18.711,13.677,30.44,18.214,19.891,58.304,0.523,0.546,5,0.4
70.041,0.892,0.112,0.1,-0.231,1.286,85.824,97.718,0.039,0.848,0.025,1.086,14.623,-64745.499,34.417,14.552,27.923,17.862,43.35,65.534,0.523,0.546,0,0.0
6895.618,0.642,15.037,9.666,6.153,1.298,57.15,91.94,0.909,0.981,1.103,1.013,13.767,-64258.371,29.024,13.741,30.713,19.177,32.817,64.122,0.523,0.546,0,15.0
9437.081,0.71,0.112,0.079,6.281,1.31,62.271,94.15,0.892,0.766,1.084,0.962,14.891,-64330.028,29.36,14.934,30.282,19.665,36.76,60.116,0.523,0.546,0,0.0
8521.028,0.89,0.487,0.433,6.217,1.31,60.393,84.803,0.909,1.0,1.097,1.043,13.813,-64275.164,18.303,13.803,30.299,18.157,19.403,63.813,0.523,0.546,5,0.4
9008.784,0.875,1.05,0.918,6.217,1.175,60.734,92.11,0.918,0.95,1.109,0.945,13.9,-64295.219,27.315,13.896,30.298,17.937,35.927,64.607,0.523,0.546,0,1.0
198.617,0.852,1.05,0.895,5.834,1.31,99.478,92.79,0.85,0.645,1.015,0.711,14.487,-64708.029,34.886,14.388,29.642,17.935,43.854,65.24,0.523,0.546,0,1.0
1321.941,0.945,0.112,0.106,6.217,1.298,101.867,103.327,0.88,1.013,1.072,1.043,14.637,-64485.58,36.218,14.561,30.719,17.821,45.037,65.097,0.523,0.546,0,0.0
147.469,0.85,0.112,0.095,5.26,1.286,94.87,100.438,0.807,0.848,0.971,1.082,14.489,-64723.207,34.833,14.396,29.035,17.834,43.686,64.981,0.523,0.546,5,0.0
27.757,0.92,0.112,0.103,-0.231,0.021,88.725,100.947,0.081,0.277,0.068,0.23,14.577,-64757.205,34.251,14.493,28.784,17.979,42.922,65.833,0.523,0.546,0,0.0
871.786,0.502,24.042,12.081,6.153,1.298,101.355,93.64,0.863,0.943,1.059,0.988,14.317,-64556.397,35.528,14.224,30.86,17.917,44.82,65.528,0.523,0.546,0,24.0
8527.392,0.889,0.487,0.433,6.217,1.298,62.271,88.371,0.909,1.0,1.109,1.039,13.788,-64275.47,18.278,13.796,30.294,18.113,19.36,64.522,0.523,0.546,5,0.4
4824.105,0.89,0.862,0.767,6.153,1.298,81.215,93.98,0.888,1.007,1.084,1.043,13.809,-64298.47,35.248,13.78,30.295,18.164,44.383,65.323,0.523,0.546,0,0.8
87.188,0.875,0.112,0.098,-0.231,1.274,83.434,92.11,0.039,0.842,0.031,1.086,14.543,-64740.451,34.509,14.462,27.706,17.84,43.428,64.989,0.523,0.546,5,0.0
36.067,0.917,0.112,0.103,-0.231,1.114,88.896,100.268,0.06,0.435,0.043,0.639,14.58,-64755.089,34.239,14.517,28.566,17.808,43.003,65.522,0.523,0.546,0,0.0
9506.248,0.409,0.112,0.046,6.217,1.31,62.441,93.98,0.897,0.772,1.084,0.984,14.804,-64349.598,28.047,14.95,30.116,20.405,35.524,59.916,0.523,0.546,0,0.0
9034.495,0.947,0.112,0.106,6.217,1.298,61.929,89.221,0.909,1.153,1.109,1.312,13.94,-64296.397,27.915,13.923,30.287,18.301,36.48,64.344,0.523,0.546,0,0.0
4856.664,0.84,2.062,1.732,6.217,1.286,80.021,91.6,0.888,1.007,1.084,1.039,13.78,-64298.02,35.175,13.766,30.305,18.047,44.342,65.343,0.523,0.546,0,2.0
14.353,0.93,0.112,0.104,-0.167,0.046,86.506,99.758,0.179,0.308,0.163,0.259,14.672,-64759.841,34.155,14.581,29.164,18.31,42.736,64.73,0.523,0.546,0,0.0
193.472,0.85,1.05,0.892,5.77,1.286,100.672,103.497,0.85,0.696,1.028,0.745,14.466,-64709.61,34.956,14.405,29.587,17.942,43.807,65.27,0.523,0.546,0,1.0
9015.931,0.872,1.05,0.916,6.153,1.298,61.417,92.45,0.909,0.956,1.103,1.082,13.898,-64295.536,27.494,13.889,30.299,17.871,36.075,64.517,0.523,0.546,0,1.0
9021.072,0.872,1.05,0.916,6.217,1.286,61.929,92.96,0.914,0.975,1.097,1.141,13.902,-64295.748,27.605,13.877,30.294,17.977,36.207,64.409,0.523,0.546,0,1.0
8487.848,0.86,1.05,0.903,6.217,1.298,61.076,92.62,0.909,1.007,1.103,1.039,13.751,-64273.479,18.445,13.744,30.312,18.483,19.587,62.43,0.523,0.546,5,1.0
4840.887,0.885,0.862,0.763,6.153,1.298,80.533,93.81,0.892,1.007,1.09,1.039,13.786,-64298.223,35.209,13.768,30.3,18.12,44.369,65.606,0.523,0.546,0,0.8
3865.545,0.64,15.037,9.624,6.153,1.298,84.288,95.679,0.888,0.975,1.072,1.013,13.809,-64326.094,32.127,13.787,30.333,17.961,41.339,65.169,0.523,0.546,0,15.0
22.896,0.922,0.112,0.103,-0.231,0.021,88.042,102.987,0.098,0.296,0.094,0.238,14.605,-64758.243,34.222,14.523,28.898,18.079,42.86,64.827,0.523,0.546,5,0.0
1944.075,0.615,15.037,9.248,6.153,1.298,96.576,100.268,0.892,0.981,1.072,1.013,14.136,-64422.822,26.967,14.07,30.686,18.057,30.552,62.475,0.523,0.546,0,15.0
9938.515,0.245,0.112,0.027,6.089,1.298,62.271,95.679,0.901,0.772,1.084,0.962,15.402,-64476.702,25.376,15.605,28.403,22.481,29.977,58.45,0.523,0.546,0,0.0
